id,name english,description,desc english
bless_10001,Melee Archer,"Attack Range fixed to <font color='#83d18a'>{range}</font>, +<font color='#83d18a'>{xx}%</font> Lifesteal, +<font color='#83d18a'>{ysI}%</font> Move Speed, +<font color='#83d18a'>{gjI}%</font> Total Damage, +<font color='#83d18a'>{smI}%</font> Health, +<font color='#83d18a'>{gsI}%</font> Attack Speed.","Attack Range fixed to <font color='#83d18a'>{range}</font>, +<font color='#83d18a'>{xx}%</font> Lifesteal, +<font color='#83d18a'>{ysI}%</font> Move Speed, +<font color='#83d18a'>{gjI}%</font> Total Damage, +<font color='#83d18a'>{smI}%</font> Health, +<font color='#83d18a'>{gsI}%</font> Attack Speed."
bless_10002,Extra Strike,"Attacks trigger extra split arrows that inherit attack effects, dealing <font color='#83d18a'>{dmg_pct}%</font> damage. Hits primary target if no other enemies are in range.","Attacks trigger extra split arrows that inherit attack effects, dealing <font color='#83d18a'>{dmg_pct}%</font> damage. Hits primary target if no other enemies are in range."
bless_10003,Charged Arrow,Attacking heroes fires a Charged Arrow dealing <font color='#83d18a'>{atk_dmg_pct}%</font> physical damage (procs on-hit effects). Damage increases by <font color='#83d18a'>{dmg_add}%</font> every <font color='#83d18a'>{dmg_add_distance}</font> units.,Attacking heroes fires a Charged Arrow dealing <font color='#83d18a'>{atk_dmg_pct}%</font> physical damage (procs on-hit effects). Damage increases by <font color='#83d18a'>{dmg_add}%</font> every <font color='#83d18a'>{dmg_add_distance}</font> units.
bless_10004,Long Long Long (Ranged),+<font color='#83d18a'>{gjjl}</font> Attack Range.,+<font color='#83d18a'>{gjjl}</font> Attack Range.
bless_10004a,Tactical Visor Activated (SP: DMG),"Atk Range <font color='#83d18a'>+{gjjl}</font>, Damage <font color='#83d18a'>-{shI}%</font>.","Atk Range <font color='#83d18a'>+{gjjl}</font>, Damage <font color='#83d18a'>-{shI}%</font>."
bless_10005,Long Long Long (Melee),+<font color='#83d18a'>{gjjl}</font> Attack Range.,+<font color='#83d18a'>{gjjl}</font> Attack Range.
bless_10005a,3-Inch Advantage (SP: HP),"Atk Range <font color='#83d18a'>+{gjjl}</font>, HP <font color='#83d18a'>-{smI}%</font>.","Atk Range <font color='#83d18a'>+{gjjl}</font>, HP <font color='#83d18a'>-{smI}%</font>."
bless_10006,Attack Speed Boots,"Attacking enemies grants <font color='#83d18a'>{move_speed}</font> Move Speed ({duration}s, max <font color='#83d18a'>{max_stack}</font> stacks). Gain Attack Speed equal to <font color='#83d18a'>{atk_spd_pct}% x Move Speed</font>.","Attacking enemies grants <font color='#83d18a'>{move_speed}</font> Move Speed ({duration}s, max <font color='#83d18a'>{max_stack}</font> stacks). Gain Attack Speed equal to <font color='#83d18a'>{atk_spd_pct}% x Move Speed</font>."
bless_10007,WTF,Cooldown <font color='#83d18a'>-{lv_factor}% × Level</font>.,Cooldown <font color='#83d18a'>-{lv_factor}% × Level</font>.
bless_10008,VFX Expert,"Attack Speed <font color='#83d18a'>+{gs}</font> , Total ATK <font color='#83d18a'>-{gjI}%</font>, Maelstrom/Mjollnir/MKB and Proc Blessing Damage <font color='#83d18a'>+{cffyshI}%</font>.","Attack Speed <font color='#83d18a'>+{gs}</font> , Total ATK <font color='#83d18a'>-{gjI}%</font>, Maelstrom/Mjollnir/MKB and Proc Blessing Damage <font color='#83d18a'>+{cffyshI}%</font>."
bless_10009,Static Combo,Attacks deal <font color='#83d18a'>{dmg}</font> bonus magic damage. Stacks +<font color='#83d18a'>{add_dmg}</font> damage on same target (duration: <font color='#83d18a'>{dur}</font>s).,Attacks deal <font color='#83d18a'>{dmg}</font> bonus magic damage. Stacks +<font color='#83d18a'>{add_dmg}</font> damage on same target (duration: <font color='#83d18a'>{dur}</font>s).
bless_10010,Maelstrom Mind,Gain <font color='#83d18a'>{gold}</font> Gold. Upgrades Desolator to Mjollnir (True) when first carried.,Gain <font color='#83d18a'>{gold}</font> Gold. Upgrades Desolator to Mjollnir (True) when first carried.
bless_10011,Pianist,Casting spells reduces base skill cooldowns by <font color='#83d18a'>{cd_reduce}</font>s.,Casting spells reduces base skill cooldowns by <font color='#83d18a'>{cd_reduce}</font>s.
bless_10012,Ultimate Refresh,"+<font color='#83d18a'>{jnzq}%</font> Spell Amp. Casting Ultimate refreshes its cooldown (CD: <font color='#83d18a'>{cd}</font>s, resets on death).","+<font color='#83d18a'>{jnzq}%</font> Spell Amp. Casting Ultimate refreshes its cooldown (CD: <font color='#83d18a'>{cd}</font>s, resets on death)."
bless_10013,Blood Mage,"Gain up to <font color='#83d18a'>{spell_amp_max}%</font> Spell Amp, <font color='#83d18a'>{mp_max}%</font> Move Speed, and <font color='#83d18a'>{spell_life_steal_max}%</font> Spell Lifesteal based on missing HP. Spells cost <font color='#83d18a'>{hp_cost}%</font> current HP.","Gain up to <font color='#83d18a'>{spell_amp_max}%</font> Spell Amp, <font color='#83d18a'>{mp_max}%</font> Move Speed, and <font color='#83d18a'>{spell_life_steal_max}%</font> Spell Lifesteal based on missing HP. Spells cost <font color='#83d18a'>{hp_cost}%</font> current HP."
bless_10014,Spell Crit,Spells have a <font color='#83d18a'>{chance}%</font> chance to deal <font color='#83d18a'>{rate}%</font> critical damage.,Spells have a <font color='#83d18a'>{chance}%</font> chance to deal <font color='#83d18a'>{rate}%</font> critical damage.
bless_10015,Blink Dagger Shield,For <font color='#83d18a'>{duration}</font>s after Blink Dagger: <font color='#83d18a'>-{income_dmg_pct}%</font> Damage Taken and <font color='#83d18a'>+{mp}</font> Move Speed.,For <font color='#83d18a'>{duration}</font>s after Blink Dagger: <font color='#83d18a'>-{income_dmg_pct}%</font> Damage Taken and <font color='#83d18a'>+{mp}</font> Move Speed.
